T,p,q
1633702337,210.73,3
1633702347,210.59,1
1633702353,210.41,13
1633702354,210.47,1
1633702354,210.47,1
1633702356,210.41,3
1633702358,210.49,1
1633702361,210.51,1
1633702366,210.49,1
1633702369,210.45,1
1633702378,210.4,6
1633702387,210.67,40
1633702389,210.68,2
1633702393,210.63,10
1633702407,210.76,1
1633702412,210.66,1
1633702416,210.73,2
1633702417,210.76,1
1633702421,210.93,2
1633702442,211.03,1
1633702446,211.01,1
1633702452,210.96,5
1633702456,210.94,1
1633702465,211.01,1
1633702469,211.01,5
1633702473,211,2
1633702475,211.07,5
1633702487,211.15,2
1633702488,211.15,1
1633702491,211.13,1
1633702491,211.13,1
1633702502,211.01,1
1633702503,210.99,4
1633702507,211.1,1
1633702515,211.04,2
1633702521,211.04,24
1633702529,211.08,5
1633702533,211.08,4
1633702542,211.2,3
1633702543,211.24,5
1633702545,211.25,2
1633702554,211.21,3
1633702564,211.2,7
1633702566,211.25,4
1633702579,211.18,20
1633702581,211.2,1
1633702585,211.23,9
1633702587,211.25,3
1633702591,211.24,2
1633702596,211.18,1
1633702602,211.12,2
1633702616,210.91,2
1633702629,211.04,4
1633702638,211.11,7
1633702664,211.28,1
1633702670,211.51,8
1633702671,211.52,1
1633702672,211.5,8
1633702672,211.5,1
1633702674,211.4,1
1633702675,211.4,10
1633702677,211.42,2
1633702680,211.4,1
1633702694,211.35,5
1633702695,211.35,1
1633702697,211.39,4
1633702701,211.35,3
1633702706,211.34,1
1633702707,211.34,2
1633702708,211.37,1
1633702713,211.28,1
1633702715,211.25,1
1633702724,211.15,1
1633702725,211.15,4
1633702725,211.15,1
1633702731,211.18,5
1633702738,211.22,1
1633702751,211.18,4
1633702751,211.18,1
1633702752,211.18,3
1633702758,211.23,5
1633702781,211.18,2
1633702795,211.11,1
1633702803,210.96,1
1633702842,211.2,10
1633702863,211.1,1
1633702864,211.1,2
1633702865,211.1,1
1633702873,211.09,10
1633702873,211.09,1
1633702877,211.17,1
1633702882,211.24,9
1633702886,211.24,3
1633702893,211.2,1
1633702893,211.2,10
1633702895,211.18,1
1633702902,211.23,4
1633702903,211.29,2
1633702908,211.35,5
1633702912,211.36,5
1633702926,211.46,1
1633702930,211.46,1
1633702935,211.4,10
1633702935,211.4,1
1633702952,211.45,1
1633702955,211.49,2
1633702955,211.49,1
1633702957,211.49,1
1633702958,211.5,4
1633702959,211.49,2
1633702967,211.45,4
1633702978,211.45,3
1633702984,211.32,1
1633702987,211.27,13
1633702994,211.45,2
1633702997,211.49,3
1633703005,211.42,1
1633703016,211.46,1
1633703033,211.39,17
1633703044,211.22,1
1633703048,211.18,2
1633703050,211.23,7
1633703051,211.22,2
1633703059,211.26,2
1633703062,211.31,1
1633703064,211.35,2
1633703080,211.26,2
1633703094,211.15,5
1633703097,211.19,7
1633703141,211.04,1
1633703145,211.04,40
1633703145,211.05,1
1633703146,210.98,11
1633703146,210.98,11
1633703149,210.95,1
1633703149,210.95,1
1633703160,210.95,4
1633703165,211.04,4
1633703183,211.15,6
1633703184,211.15,1
1633703186,211.17,2
1633703186,211.17,1
1633703197,211.19,1
1633703202,211.15,1
1633703215,211.25,1
1633703227,211.12,2
1633703240,211.26,4
1633703241,211.24,3
1633703245,211.24,3
1633703246,211.24,2
1633703246,211.24,1
1633703247,211.24,3
1633703260,211.15,5
1633703267,211.22,3
1633703272,211.24,1
1633703276,211.29,25
1633703276,211.29,1
1633703282,211.24,1
1633703294,211.29,3
1633703327,211.39,6
1633703328,211.37,5
1633703344,211.3,3
1633703347,211.29,10
1633703359,211.31,1
1633703406,211.38,1
1633703409,211.37,2
1633703431,211.28,6
1633703433,211.23,4
1633703439,211.18,7
1633703448,211.31,1
1633703450,211.34,2
1633703451,211.32,2
1633703452,211.32,1
1633703475,211.4,4
1633703480,211.43,1
1633703483,211.42,1
1633703496,211.29,2
1633703505,211.2,6
1633703547,211.31,4
1633703548,211.31,2
1633703556,211.37,1
1633703556,211.43,6
1633703568,211.34,2
1633703576,211.32,1
1633703578,211.35,3
1633703588,211.33,1
1633703607,211.2,2
1633703608,211.2,1
1633703612,211.17,1
1633703622,211.26,3
1633703623,211.26,1
1633703633,211.18,1
1633703636,211.2,3
1633703645,211.12,4
1633703651,211.08,1
1633703660,211.09,7
1633703662,211.07,3
1633703663,211.08,5
1633703664,211.01,3
1633703665,211.01,1
1633703666,210.95,6
1633703666,210.95,6
1633703685,210.93,10
1633703688,210.9,1
1633703705,210.73,1
1633703733,210.85,1
1633703741,210.87,5
1633703742,210.87,1
1633703781,210.66,3
1633703782,210.68,2
1633703783,210.68,3
1633703792,210.68,5
1633703795,210.72,1
1633703799,210.71,4
1633703806,210.79,1
1633703820,210.75,1
1633703831,210.64,1
1633703864,210.57,5
1633703886,210.55,1
1633703931,210.55,1
1633703934,210.53,2
1633703937,210.47,11
1633703938,210.49,5
1633703944,210.42,1
1633703945,210.39,1
1633703951,210.28,5
1633703952,210.31,1
1633703974,210.42,1
1633703977,210.38,1
1633703993,210.11,5
1633703999,210.13,1
1633704002,210.21,1
1633704003,210.17,1
1633704004,210.15,15
1633704017,210.19,2
1633704024,210.08,4
1633704026,210.1,1
1633704037,209.93,1
1633704041,209.95,3
1633704042,209.95,19
1633704050,209.85,5
1633704054,209.82,1
1633704055,209.82,2
1633704055,209.82,6
1633704056,209.8,3
1633704057,209.75,1
1633704058,209.75,2
1633704062,209.69,1
1633704070,209.8,5
1633704072,209.79,2
1633704073,209.66,1
1633704078,209.51,2
1633704078,209.57,1
1633704078,209.57,1
1633704082,209.63,10
1633704104,209.57,1
1633704106,209.57,1
1633704119,209.62,1
1633704128,209.62,2
1633704138,209.58,1
1633704140,209.47,1
1633704147,209.51,2
1633704148,209.51,1
1633704150,209.52,2
1633704152,209.48,3
1633704155,209.46,5
1633704157,209.47,20
1633704164,209.4,4
1633704170,209.24,3
1633704189,209.21,10
1633704190,209.23,19
1633704193,209.29,1
1633704196,209.29,3
1633704200,209.32,1
1633704203,209.32,2
1633704206,209.3,4
1633704210,209.29,2
1633704222,209.3,5
1633704227,209.29,1
1633704233,209.37,2
1633704235,209.38,1
1633704236,209.39,10
1633704241,209.4,1
1633704243,209.43,6
1633704243,209.4,1
1633704252,209.5,3
1633704255,209.5,1
1633704267,209.55,2
1633704270,209.53,6
1633704272,209.5,2
1633704283,209.53,4
1633704283,209.53,1
1633704288,209.59,1
1633704289,209.59,4
1633704340,209.67,3
1633704341,209.67,1
1633704345,209.65,2
1633704346,209.65,1
1633704351,209.66,2
1633704370,209.7,1
1633704380,209.57,2
1633704383,209.53,8
1633704386,209.51,10
1633704390,209.52,2
1633704392,209.52,1
1633704396,209.57,1
1633704397,209.57,5
1633704397,209.57,3
1633704414,209.67,1
1633704416,209.68,2
1633704416,209.68,2
1633704426,209.78,10
1633704431,209.77,10
1633704439,209.75,1
1633704440,209.75,2
1633704449,209.8,1
1633704462,209.85,3
1633704484,209.89,1
1633704490,209.92,3
1633704498,209.96,1
1633704501,209.93,1
1633704507,209.97,2
1633704508,209.99,1
1633704509,209.99,4
1633704510,209.99,1
1633704512,210.06,1
